GEOID,total_population,opportunity_score,economic_score,health_score,housing_score,tier
17031030101,3517,62.21,66.89,69.85,28.77,Moderate
17031030701,1509,61.09,69.97,69.2,12.57,Moderate
17031070103,1439,74.34,85.08,88.1,6.47,High
17031807100,3850,80.58,85.49,82.92,58.76,Very High
17031807200,6056,76.03,78.95,75.8,66.88,High
17031807300,8095,77.11,81.38,76.96,63.2,High
17031807400,6960,76.42,81.21,76.31,60.67,High
17031807500,3325,77.36,81.58,79.23,58.97,High
17031807700,6151,70.38,75.26,67.15,61.66,High
17031807900,4345,81.4,86.0,80.85,67.36,Very High
17031808001,3584,78.72,80.85,83.04,61.57,High
17031808002,5339,74.96,78.75,79.48,51.76,High
17031808301,6276,75.84,80.83,74.67,61.92,High
17031808302,4707,75.46,78.42,78.05,59.53,High
17031808600,2288,81.47,90.09,84.7,45.17,Very High
17031808702,5244,73.83,76.05,78.04,56.59,High
17031770202,4557,70.08,72.46,69.68,63.11,High
17031770602,4586,64.9,71.5,64.67,43.45,Moderate
17031806104,4132,61.79,69.88,63.97,29.69,Moderate
17031802506,2517,66.2,74.24,64.57,43.18,High
17031802505,6371,67.95,75.35,68.37,42.32,High
17031802404,7492,71.16,74.8,70.06,61.63,High
17031803017,6125,77.11,83.08,78.67,53.57,High
17031804714,3269,75.6,80.41,78.88,51.91,High
17031804403,6895,70.54,76.41,66.85,59.56,High
17031804406,5798,65.48,72.55,55.1,66.13,High
17031804716,4599,78.19,82.06,80.36,60.22,High
17031806201,5130,73.04,75.44,76.39,57.21,High
17031820606,3975,70.44,74.5,72.13,52.98,High
17031820604,3546,59.13,67.15,57.66,35.83,Moderate
17031824116,5365,71.34,77.43,74.2,44.4,High
17031824114,5223,79.94,82.9,80.22,69.44,High
17031823806,4203,66.72,70.09,69.07,49.97,High
17031824003,5995,78.5,80.36,78.72,71.76,High
17031824005,5749,77.55,79.75,78.44,68.12,High
17031824122,5935,78.47,80.28,77.71,74.18,High
17031804506,5248,77.23,81.33,77.37,63.21,High
17031824119,5332,79.04,82.8,78.08,68.78,High
17031831900,3074,76.77,85.37,84.98,28.99,High
17031832600,4348,82.4,90.24,86.76,46.13,Very High
17031836900,1994,40.5,52.75,32.98,17.23,Low
17031841200,4414,60.38,72.48,57.77,26.17,Moderate
17031839500,1804,49.65,46.84,62.78,28.35,Moderate
17031835800,1852,60.79,70.37,61.06,28.22,Moderate
17031838800,3225,45.85,60.43,32.89,27.52,Moderate
17031842300,3672,77.21,84.5,83.23,38.89,High
17031841900,5983,75.27,75.77,81.28,59.6,High
17031843200,2348,61.15,72.71,61.59,21.6,Moderate
17031843400,1209,53.02,63.93,48.55,27.05,Moderate
17031842600,4540,66.47,73.17,65.94,45.36,High
17031803200,5024,77.99,81.57,79.51,62.51,High
17031803300,5629,75.87,82.13,78.02,49.97,High
17031808900,4160,85.91,91.17,88.3,62.8,Very High
17031809000,4044,83.65,90.43,86.05,55.45,Very High
17031301803,3168,55.45,66.68,52.17,25.66,Moderate
17031809100,3287,77.21,85.44,80.9,41.21,High
17031809200,4857,61.59,70.67,57.39,41.12,Moderate
17031809300,4799,70.61,78.39,76.13,31.83,High
17031320101,8705,83.01,88.08,86.71,57.5,Very High
17031829904,4166,73.08,76.44,72.92,62.27,High
17031804204,5281,81.86,86.04,82.96,65.36,Very High
17031804316,4514,75.25,78.92,74.05,65.8,High
17031804514,5381,78.22,82.32,79.41,61.8,High
17031330103,8471,80.47,86.99,81.88,55.46,Very High
17031380600,4025,51.79,62.53,47.06,27.03,Moderate
17031330102,9617,84.07,88.83,87.25,60.73,Very High
17031330101,5011,83.49,89.68,86.75,55.23,Very High
17031460800,4376,38.88,52.86,24.32,26.26,Low
17031806005,2713,72.29,80.39,74.78,39.47,High
17031806006,4417,70.91,74.48,72.4,55.52,High
17031804203,3215,84.91,90.1,86.59,63.67,Very High
17031803614,4145,58.78,68.85,58.34,26.25,Moderate
17031803616,4789,73.71,79.89,74.08,52.24,High
17031809402,2713,68.08,75.99,76.59,21.84,High
17031828508,4095,60.21,73.72,46.27,47.73,Moderate
17031828507,4164,69.13,75.18,63.55,61.99,High
17031824126,5416,79.3,82.23,78.0,72.55,High
17031824508,3188,70.62,75.24,72.25,51.45,High
17031824509,5104,75.46,78.36,75.1,66.61,High
17031824127,4001,76.39,78.29,77.98,66.32,High
17031824125,4443,75.19,78.42,75.09,64.69,High
17031824124,2909,69.64,75.66,71.43,45.42,High
17031824129,4074,75.58,76.42,79.8,62.94,High
17031824128,4445,77.07,80.2,77.43,65.77,High
17031829903,4068,68.77,76.6,63.07,55.95,High
17031804313,6913,74.17,76.59,73.76,67.07,High
17031804312,1888,82.17,86.89,85.99,57.54,Very High
17031820203,3696,79.36,83.92,79.12,64.75,High
17031820204,4332,77.09,81.35,77.91,61.01,High
17031630600,2746,52.71,63.59,43.76,37.29,Moderate
17031490200,2944,61.64,69.03,57.77,46.04,Moderate
17031612200,3687,47.02,59.35,37.24,28.75,Moderate
17031844700,1753,54.03,65.17,51.28,23.31,Moderate
17031844600,2275,49.77,58.22,53.52,12.85,Moderate
17031803613,3891,62.35,70.95,58.63,42.35,Moderate
17031803615,2357,76.05,83.8,82.5,35.16,High
17031804314,1409,74.43,79.5,77.72,49.86,High
17031804512,3555,79.27,83.64,81.03,60.58,High
17031804315,2547,74.43,78.28,76.54,56.65,High
17031804513,3753,78.53,82.76,81.26,58.05,High
17031320102,5429,78.32,88.05,85.04,30.22,High
17031809401,2879,76.42,83.68,83.54,35.59,High
17031220701,3077,67.31,76.49,72.13,25.45,High
17031063302,4102,79.31,87.7,89.2,28.23,High
17031252201,3258,46.51,55.02,41.72,29.32,Moderate
17031660302,4612,55.23,62.98,52.05,36.85,Moderate
17031660301,1761,45.06,54.58,43.02,18.04,Moderate
17031730202,3093,64.39,73.38,57.33,50.92,Moderate
17031813302,2893,53.39,69.3,40.72,29.95,Moderate
17031813702,4719,60.7,69.95,56.59,39.5,Moderate
17031813301,3292,54.03,71.19,39.82,29.96,Moderate
17031802403,1392,75.71,80.12,82.29,45.64,High
17031803016,2560,78.62,86.6,87.24,31.94,High
17031803701,2745,72.96,79.49,77.74,40.03,High
17031804108,4577,72.18,78.44,83.96,23.83,High
17031804715,3777,64.26,72.42,61.21,44.2,Moderate
17031835600,749,26.19,39.43,15.08,7.99,Low
17031840000,2651,67.82,72.12,72.04,43.64,High
17031836400,3783,54.59,64.95,49.39,32.2,Moderate
17031836100,1827,45.9,58.55,41.7,13.53,Moderate
17031834600,1825,40.99,53.56,32.79,18.19,Low
17031843600,2966,61.47,74.57,58.48,24.81,Moderate
17031061902,4938,78.31,86.6,85.55,33.79,High
17031030102,3052,65.14,72.63,68.35,32.65,High
17031030103,2297,63.71,73.3,67.85,22.06,Moderate
17031030706,2588,72.07,80.11,79.23,28.57,High
17031030601,3771,66.26,75.51,69.96,26.83,High
17031081202,3437,85.43,92.83,89.2,52.0,Very High
17031063303,1198,76.04,83.06,86.0,29.41,High
17031220901,3090,62.75,74.51,60.71,28.3,Moderate
17031210602,4362,69.29,80.11,68.38,35.32,High
17031220602,4316,71.7,81.07,78.15,25.44,High
17031220601,1538,76.52,86.24,83.89,26.9,High
17031040401,3431,77.23,85.29,80.53,42.72,High
17031252202,4945,47.88,56.88,41.85,31.94,Moderate
17031252102,7020,54.04,66.57,39.58,46.01,Moderate
17031770601,3694,73.62,78.06,73.76,58.5,High
17031806103,5296,77.14,80.59,76.87,66.23,High
17031802610,1986,78.09,83.05,80.63,55.65,High
17031802609,6414,69.12,74.82,69.69,48.83,High
17031804610,2684,73.07,78.05,76.36,48.76,High
17031770201,6051,73.83,79.5,75.89,50.1,High
17031804308,4752,70.59,75.48,70.58,54.33,High
17031820605,5617,59.58,68.44,58.69,32.17,Moderate
17031836300,1744,64.04,74.33,67.32,22.07,Moderate
17031834500,1572,44.38,60.53,36.17,9.69,Low
17031836000,3022,60.22,71.35,56.47,31.86,Moderate
17031836200,1709,79.51,85.25,84.76,48.11,High
17031834400,4263,59.73,68.95,57.98,33.09,Moderate
17031834300,6186,62.49,68.96,55.63,56.94,Moderate
17031070101,4583,77.72,85.31,85.1,35.2,High
